Symbol,Exchange,Price,Quantity
ABC,X,0.10,10
DEF,Y,0.15,15
GHI,Z,0.05,20
JKL,X,0.25,15
ABC,Y,0.09,10
DEF,Z,0.14,10
GHI,X,0.03,15
JKL,Y,0.24,20
ABC,Z,0.12,15
DEF,X,0.17,10
GHI,Y,0.06,10
JKL,Z,0.23,15
ABC,X,0.09,20
DEF,Y,0.15,15
GHI,Z,0.05,10
ABC,X,0.11,10
DEF,Y,0.17,15
GHI,Z,0.06,20
JKL,X,0.25,15
ABC,Y,0.08,10
DEF,Z,0.15,10
GHI,X,0.03,15
JKL,Y,0.24,20
ABC,Z,0.10,15
DEF,X,0.14,10
GHI,Y,0.05,10
JKL,Z,0.26,15
ABC,X,0.11,20
DEF,Y,0.16,15
GHI,Z,0.06,10
ABC,X,0.10,10
DEF,Y,0.17,15
